Beam_Type,beam_width,beam_height,beam_length,flange_width,flange_height,web_thickness,concrete_compressive_strength,concrete_modulus_of_elasticity,yield_strength_of_reinforcement,prestressing_strength,steel_modulus_of_elasticity,area_of_steel_reinforcement,area_of_prime_reinforcement,area_of_prestressing_reinforcement,number_of_strands,axial_load,bond_condition,Cracking Load,Ultimate Moment,Ultimate Load,Axial Displacement
Rectangular RC,302,509,6607,302,0,220,25,23500,490,1811,200000,3433,766,189,5,0.2395953,B,45.64143617,331.4323911,547.443452,24.57603487
Rectangular RC,548,955,9401,548,0,257,20,21019.03899,485,1734,200000,988,971,913,6,1.1081994,U,260.7648735,178.7624047,420.1363416,14.09724191
Rectangular RC,470,691,8602,1008,0,383,37,28588.98389,412,1788,200000,3494,578,420,6,0.525672,U,159.2581272,394.8118442,849.042871,16.58938292
Rectangular RC,306,1156,5556,958,127,235,46,31876.95092,438,1842,200000,2870,172,716,9,0.9232104,U,323.5659404,951.1369635,1321.129242,23.14798495
Rectangular RC,271,395,5139,271,0,330,35,27805.57498,454,1784,200000,1929,227,976,3,1.2188288,B,29.18396487,196.4464618,252.3845918,24.68578745
Rectangular RC,388,1193,9098,388,254,174,27,24421.91639,406,1795,200000,1728,87,716,6,0.899654,B,334.7659549,339.6355395,772.5010346,8.432463256
Prestressed T-Beam,220,1157,8280,220,0,191,25,23500,442,1844,200000,820,232,949,9,1.2249692,B,171.7932883,186.6016848,386.2654876,17.17994833
Rectangular RC,302,1055,7244,302,223,300,32,26587.21497,441,1614,200000,4326,751,825,8,0.932085,B,221.8368251,933.7379272,1690.999386,18.8572598
Rectangular RC,321,385,5164,321,130,158,36,28200,457,1774,200000,1436,717,304,7,0.3775072,B,33.3061575,152.0383851,196.2815552,19.16340558
Rectangular RC,414,714,9601,414,0,304,45,31528.55848,411,1696,200000,2647,36,499,4,0.5924128,U,165.1770902,284.2564412,682.2865231,9.204986052
Rectangular PC,530,693,5612,1207,0,352,32,26587.21497,412,1613,200000,2104,347,658,5,0.7429478,U,167.9825299,377.1589026,529.1539404,6.400369511
Prestressed T-Beam,287,995,9957,287,171,200,29,25310.27459,411,1754,200000,2532,282,214,7,0.2627492,B,178.5146434,363.272314,904.2756075,12.52481706
Rectangular PC,572,932,9188,572,0,368,46,31876.95092,475,1765,200000,4922,147,960,6,1.18608,U,393.1457263,841.9799842,1934.028024,21.23272411
Rectangular RC,299,1143,8896,299,125,381,25,23500,437,1703,200000,741,462,888,5,1.0585848,B,227.8664798,155.0678145,344.8708194,24.41274982
Rectangular RC,559,800,5021,559,0,369,45,31528.55848,402,1811,200000,2592,937,492,9,0.6237084,U,279.9914879,600.2739289,753.4938493,13.89246851
Prestressed T-Beam,351,903,5821,351,188,206,42,30459.48128,471,1729,200000,1249,920,815,5,0.9863945,B,216.3984033,334.3221557,486.5223171,23.28427783
Rectangular RC,330,881,8938,330,0,231,37,28588.98389,461,1603,200000,4560,107,363,6,0.4073223,B,181.7663174,684.1547684,1528.74383,19.44617986
Prestressed T-Beam,349,432,9132,349,0,313,46,31876.95092,430,1840,200000,1957,69,429,7,0.552552,B,51.53693968,128.5177797,293.406091,7.35987524
Rectangular PC,508,1090,5281,508,0,311,39,29351.49059,476,1751,200000,3739,690,581,2,0.7121317,U,439.7398271,1327.367981,1752.457576,11.9087485
Rectangular PC,457,948,8494,457,214,162,42,30459.48128,471,1736,200000,2660,109,274,5,0.3329648,U,310.5305336,505.6892298,1073.831079,19.88776478
Rectangular PC,543,613,4570,543,0,332,32,26587.21497,436,1746,200000,3172,461,311,6,0.3801042,B,134.6612239,621.8090956,710.4168917,13.94463708
Rectangular PC,493,998,8969,493,0,323,46,31876.95092,423,1789,200000,1809,166,819,3,1.0256337,B,388.5381852,315.8947898,708.3150923,18.12043465
Rectangular RC,585,520,4972,585,100,329,34,27405.47391,491,1768,200000,2069,376,464,4,0.5742464,U,107.609051,357.5239959,444.4023269,20.19233057
Prestressed T-Beam,391,737,6986,525,0,371,25,23500,467,1727,200000,3572,361,494,2,0.5971966,B,123.8877961,557.9035975,974.3786331,24.61984515
Prestressed T-Beam,476,345,5244,627,0,177,30,25742.9602,463,1691,200000,2965,29,668,7,0.7907116,B,36.20366685,247.072238,323.9117041,23.36370252
Rectangular PC,360,1089,9168,360,128,235,27,24421.91639,415,1676,200000,4782,558,851,2,0.9983932,U,258.8135036,793.4657854,1818.62358,11.88488206
Prestressed T-Beam,513,491,5442,513,0,365,33,26999.44444,417,1677,200000,2426,686,561,2,0.6585579,B,82.88655871,299.9221294,408.044057,21.05486888
Rectangular PC,221,819,3713,221,267,260,32,26587.21497,467,1713,200000,3229,49,450,5,0.539595,U,97.83220815,1041.422418,966.7003594,12.44997304
Prestressed T-Beam,452,678,8904,452,0,307,41,30094.68392,439,1673,200000,1477,283,994,5,1.1640734,B,155.216019,176.2044336,392.2310691,17.92549587
Prestressed T-Beam,435,1087,6545,435,0,194,21,21538.10577,457,1724,200000,1798,798,523,6,0.6311564,B,274.7924411,492.9306,806.5576943,6.232364584
Rectangular PC,544,990,3222,544,0,187,20,21019.03899,496,1811,200000,522,200,854,2,1.0826158,U,278.1833139,296.8413159,239.1056799,20.68147559
Rectangular RC,248,633,3863,248,0,169,24,23025.20358,444,1792,200000,3637,251,773,9,0.9696512,U,56.79518406,703.7971107,679.6920597,24.82360026
Prestressed T-Beam,258,338,7625,676,0,347,30,25742.9602,452,1675,200000,1609,815,487,2,0.5710075,U,18.83477877,87.83607137,167.437511,15.77855571
Rectangular RC,369,592,8307,369,294,246,29,25310.27459,426,1826,200000,3479,705,789,1,1.0084998,B,81.24854048,326.8699326,678.8271325,23.65085724
Rectangular PC,387,989,4425,387,224,324,49,32900,435,1739,200000,4516,948,349,4,0.4248377,U,309.135142,1554.808402,1720.006795,22.45446568
Rectangular RC,470,461,5304,470,0,251,31,26168.49251,467,1766,200000,4923,827,915,2,1.131123,B,64.88246562,547.3324997,725.7628946,5.230656938
Rectangular RC,389,630,3653,389,0,208,29,25310.27459,499,1785,200000,2476,46,490,7,0.612255,U,97.00106194,694.1324201,633.9164327,6.791858602
Rectangular RC,374,1185,4159,374,0,356,28,24870.06232,412,1814,200000,3507,172,483,4,0.6133134,B,324.2157498,1460.986775,1519.060999,13.72649924
Rectangular RC,250,403,4842,250,249,356,21,21538.10577,450,1676,200000,1662,128,781,2,0.9162692,U,21.70733647,164.7799975,199.466187,10.29016196
Prestressed T-Beam,563,460,9734,563,117,373,42,30459.48128,447,1674,200000,2782,193,201,5,0.2355318,U,90.07317947,192.42992,468.2782103,13.0473945
Rectangular PC,254,1098,3443,1128,145,291,44,31176.27303,459,1715,200000,1273,495,548,9,0.657874,B,236.979907,688.844634,592.9230187,15.21208734
Prestressed T-Beam,443,934,5465,443,0,191,23,22540.40816,477,1648,200000,1373,630,917,4,1.0578512,U,216.2261354,404.4283245,552.5501984,14.5514961
Rectangular RC,519,353,7669,519,0,338,23,22540.40816,469,1838,200000,3549,475,733,1,0.9430778,B,36.18490829,189.6732849,363.6511055,8.246532738
Rectangular RC,330,333,9272,828,0,208,45,31528.55848,450,1882,200000,1509,355,657,8,0.8655318,B,28.638842,74.29170379,172.2081694,7.968351577
Rectangular RC,506,541,8106,506,197,157,40,29725.41001,413,1797,200000,2244,534,955,8,1.2012945,U,109.2752559,211.0859707,427.7657197,13.27206331
Rectangular PC,334,1189,7436,794,0,377,48,32562.55518,442,1657,200000,2775,915,141,5,0.1635459,U,381.6608247,720.1585447,1338.774735,18.81826095
Rectangular PC,220,412,5857,220,0,206,48,32562.55518,402,1721,200000,2220,416,191,8,0.2300977,B,30.18453718,188.8111298,276.4666968,16.82558817
Prestressed T-Beam,528,617,4280,658,0,299,49,32900,424,1721,200000,581,861,379,1,0.4565813,B,164.1530968,128.6742273,137.6814232,6.7203414
Rectangular PC,366,322,6039,677,136,251,25,23500,433,1864,200000,1172,229,944,2,1.2317312,B,22.136534,79.62150632,120.2085692,10.65517283
Rectangular RC,473,857,6795,473,0,233,31,26168.49251,469,1812,200000,2736,600,841,4,1.0667244,B,225.6578371,568.8102807,966.2664643,13.29314591
Rectangular RC,587,1123,6637,827,0,365,26,23965.39171,455,1841,200000,4613,47,237,3,0.3054219,U,440.3835392,1251.825689,2077.091774,11.64817407
Rectangular RC,288,946,6758,1379,0,170,44,31176.27303,464,1841,200000,1530,399,893,3,1.1508091,B,199.4563597,361.5971761,610.9184291,13.93977736
Rectangular RC,515,417,3099,515,0,277,41,30094.68392,459,1675,200000,1720,613,993,9,1.1642925,B,66.8987583,349.0180841,270.4017606,13.77821656
Rectangular RC,213,1000,5086,213,0,305,49,32900,447,1792,200000,4995,494,474,9,0.5945856,U,173.95,1442.84222,1834.573883,21.65851345
Rectangular PC,441,942,5310,441,0,198,38,28972.74581,471,1618,200000,3512,422,485,8,0.549311,B,281.435568,1036.024186,1375.322107,21.68627913
Prestressed T-Beam,464,511,7245,1250,0,300,21,21538.10577,480,1721,200000,573,134,324,7,0.3903228,U,64.77631196,67.10233708,121.539108,23.79919667
Rectangular PC,545,717,8752,545,0,365,41,30094.68392,476,1741,200000,4594,317,447,8,0.5447589,U,209.3020739,606.5852497,1327.208526,15.47308671
Rectangular RC,252,412,5737,252,0,203,49,32900,418,1817,200000,912,683,446,4,0.5672674,U,34.9333152,90.72624318,130.1241143,10.52843813
Rectangular PC,585,343,9956,1090,199,380,44,31176.27303,434,1759,200000,912,864,809,7,0.9961217,B,53.26197103,44.75772915,111.4019879,18.83980208
Prestressed T-Beam,539,427,8449,539,127,385,38,28972.74581,496,1861,200000,759,737,800,8,1.04216,B,70.6778131,64.81973037,136.9154755,20.28344898
Prestressed T-Beam,291,1175,8239,291,0,300,23,22540.40816,432,1712,200000,1588,336,541,4,0.6483344,U,224.7912642,353.7765386,728.6912254,11.9763002
Rectangular PC,566,457,4607,845,114,217,22,22044.95407,441,1852,200000,1487,944,350,5,0.45374,B,64.68550326,212.6703019,244.9430202,21.49079325
Rectangular RC,463,1084,9362,463,0,195,42,30459.48128,453,1878,200000,1654,103,662,8,0.8702652,B,411.3495156,322.9573926,755.8817774,18.88156584
Rectangular RC,234,1126,5953,234,0,345,23,22540.40816,438,1618,200000,3301,515,692,2,0.7837592,U,165.9981875,889.3854532,1323.627901,24.40494092
Rectangular PC,405,693,6981,405,0,371,47,32221.57662,463,1816,200000,565,780,355,4,0.451276,B,155.5669048,94.79264119,165.436857,11.90602898
Prestressed T-Beam,280,1166,8933,648,229,389,33,26999.44444,437,1816,200000,1880,281,580,4,0.737296,B,255.1284507,390.3897097,871.8378193,23.45066724
Prestressed T-Beam,249,1151,6194,249,286,305,25,23500,437,1729,200000,1377,396,946,4,1.1449438,U,192.4273453,404.7815521,626.8042334,11.95264117
Rectangular PC,559,811,7339,559,0,244,25,23500,472,1801,200000,3845,863,273,1,0.3441711,B,214.4718561,674.7078146,1237.920163,22.32985182
Prestressed T-Beam,587,344,7682,1334,211,246,28,24870.06232,451,1780,200000,1562,426,614,6,0.765044,B,42.88256866,97.67746088,187.5895636,11.55735467
Rectangular PC,201,407,9661,201,0,199,24,23025.20358,446,1707,200000,1644,907,941,3,1.1244009,U,19.02993419,80.47663888,194.371202,23.17148765
Rectangular PC,589,518,6092,589,0,232,26,23965.39171,464,1704,200000,3322,887,960,2,1.145088,U,94.01740889,411.2027656,626.261812,5.337944826
Rectangular PC,253,742,9333,253,0,394,32,26587.21497,499,1642,200000,4707,973,682,8,0.7838908,U,91.92848661,522.2988038,1218.653684,13.10194329
Prestressed T-Beam,305,1129,5962,305,189,212,20,21019.03899,441,1888,200000,1924,84,405,7,0.535248,U,202.8380892,566.2322696,843.9691978,6.002757367
Rectangular PC,459,614,5662,459,248,159,43,30819.96106,454,1810,200000,3127,288,647,7,0.819749,B,132.3824594,520.7140689,737.0707646,13.14937699
Rectangular RC,509,476,3855,509,0,238,21,21538.10577,458,1718,200000,1391,322,791,7,0.9512566,B,61.65781421,256.7749427,247.466851,13.43367326
Prestressed T-Beam,390,527,9609,390,0,314,39,29351.49059,465,1889,200000,1233,774,143,2,0.1890889,U,78.91597573,107.9567199,259.3390305,23.15664571
Prestressed T-Beam,417,1002,5146,850,0,290,29,25310.27459,473,1619,200000,500,718,697,5,0.7899101,B,263.0372689,172.4337803,221.8360584,20.99554212
Rectangular RC,243,971,9131,796,0,219,42,30459.48128,453,1601,200000,4996,518,578,1,0.6477646,B,173.227233,781.3051339,1783.524294,10.33090209
Rectangular PC,361,566,7925,693,0,179,47,32221.57662,450,1815,200000,4163,810,586,2,0.744513,U,92.49873275,424.123722,840.2951241,21.70529016
Rectangular RC,401,1169,4386,401,222,364,25,23500,422,1687,200000,3350,687,369,1,0.4357521,U,319.6613939,1332.537704,1461.127592,8.629555868
Prestressed T-Beam,469,1137,4716,469,0,377,23,22540.40816,472,1852,200000,1395,729,805,6,1.043602,B,339.2379887,585.6117525,690.4362562,18.84972966
Rectangular RC,550,678,8783,780,135,229,27,24421.91639,410,1822,200000,3078,665,788,9,1.0050152,U,153.2677384,330.7676134,726.2829871,10.54763829
Rectangular RC,503,788,7151,503,0,221,33,26999.44444,435,1807,200000,4176,75,694,8,0.8778406,U,209.3264844,681.940083,1219.138383,24.33829074
Prestressed T-Beam,470,1001,4725,800,0,357,48,32562.55518,455,1717,200000,3139,442,254,6,0.3052826,B,380.65665,1101.80057,1301.501923,23.67313404
Rectangular PC,414,986,4953,414,0,288,35,27805.57498,441,1667,200000,3172,627,553,7,0.6452957,U,277.8017536,990.4225488,1226.390721,11.03598242
Rectangular PC,451,589,8141,451,0,395,34,27405.47391,498,1825,200000,4710,695,101,3,0.1290275,U,106.4371849,514.6043187,1047.34844,5.587962924
Rectangular PC,389,656,9723,749,0,272,32,26587.21497,412,1678,200000,4255,679,688,2,0.8081248,U,110.4788281,375.4995294,912.7454812,17.94626327
Rectangular RC,495,956,3184,1433,0,278,31,26168.49251,482,1746,200000,2164,364,602,8,0.7357644,U,293.8655118,1131.518117,900.6884215,8.254187287
